sku,line,IMG,PRICE,DESC,FEAT,SPEC,JLD,PDF
1.10SD2,ESB 1000,1,1,1,0,1,1,1
1.10SD4,ESB 1000,1,1,1,0,1,1,1
1.6C,ESB 1000,1,1,1,1,1,1,1
1.6K2X,ESB 1000,1,1,1,1,1,1,1
3.10D2,ESB 3000,1,1,1,1,1,1,1
3.10D4,ESB 3000,0,1,1,1,1,1,1
3.165,ESB 3000,1,1,1,1,1,1,1
3.25,ESB 3000,0,1,1,1,1,1,1
3.28,ESB 3000,1,1,1,1,1,1,1
3.65,ESB 3000,1,1,1,1,1,1,1
3.69,ESB 3000,1,1,1,1,1,1,1
3.69C,ESB 3000,0,1,1,0,1,1,1
3.69K2.5,ESB 3000,1,1,1,0,1,0,0
3.6C,ESB 3000,1,1,1,1,1,1,0
3.6K2,ESB 3000,1,1,1,1,1,1,0
3.6K2CX,ESB 3000,1,1,1,1,1,0,1
3.6K2X,ESB 3000,0,1,1,1,1,1,0
3.6K3,ESB 3000,1,1,1,1,1,1,0
3.6K3CX,ESB 3000,1,1,1,1,1,0,1
3.6K3HECX,ESB 3000,1,1,1,1,1,0,1
3.6K3U,ESB 3000,1,1,1,1,1,1,0
3.90,ESB 3000,1,1,1,1,1,1,1
3.UMA,ESB 3000,1,1,1,1,1,1,1
3.WB6,ESB 3000,1,1,1,1,1,1,1
3.WB8,ESB 3000,1,1,1,1,1,1,0
4.100,ESB 4000,1,1,1,1,1,1,1
4.165,ESB 4000,1,1,1,1,1,1,1
4.28,ESB 4000,1,1,1,1,1,1,1
4.6C,ESB 4000,1,1,1,1,1,1,1
4.6K2CX,ESB 4000,1,1,1,1,1,1,1
4.6K3CX,ESB 4000,1,1,1,1,1,1,1
4.75,ESB 4000,1,1,1,1,1,1,1
4.UMA,ESB 4000,1,1,1,1,1,1,1
6.5\,ESB 4000,1,1,1,0,1,0,0
5.028,ESB 5000,1,1,1,1,1,1,1
5.050,ESB 5000,1,1,1,1,1,1,1
5.165,ESB 5000,1,1,1,1,1,1,1
5.6K2,ESB 5000,1,1,1,1,1,1,0
5.6K2CX,ESB 5000,0,1,1,0,1,1,1
5.6K2X,ESB 5000,0,1,1,1,1,1,0
5.6K3,ESB 5000,1,1,1,1,1,1,0
5.6K3CX,ESB 5000,0,1,1,0,1,1,1
5.6K3U,ESB 5000,1,1,1,1,1,1,0
5.6K3UX,ESB 5000,0,1,1,1,1,1,0
5.6K3X,ESB 5000,0,1,1,1,1,1,0
5.PB,ESB 5000,0,1,1,0,1,0,0
5.UMA,ESB 5000,1,1,1,1,1,1,1
A4/Q5REAR165,ESB 6000 Car Special,1,1,1,0,1,0,1
A4FRONT200,ESB 6000 Car Special,1,1,1,0,1,0,1
A6FRONT200,ESB 6000 Car Special,1,1,1,0,1,0,1
A6REAR165,ESB 6000 Car Special,0,1,1,0,1,0,1
MBCOAX100,ESB 6000 Car Special,1,1,1,1,1,1,0
MBFRONT100,ESB 6000 Car Special,1,1,1,1,1,1,0
MBSUB200,ESB 6000 Car Special,1,1,1,1,1,1,0
Q5FRONT200,ESB 6000 Car Special,1,1,1,0,1,0,1
8.003UMA,ESB 8000,1,1,1,1,1,1,1
8.028,ESB 8000,1,1,1,1,1,1,1
8.028S,ESB 8000,1,1,1,1,1,1,1
8.075,ESB 8000,1,1,1,1,1,1,1
8.165,ESB 8000,1,1,1,1,1,1,1
8.6K2,ESB 8000,1,1,1,1,1,1,0
8.6K2CX,ESB 8000,1,1,1,0,1,0,1
8.6K2S,ESB 8000,1,1,1,1,1,1,0
8.6K3,ESB 8000,1,1,1,1,1,1,0
8.6K3CX,ESB 8000,1,1,1,0,1,0,1
8.6K3S,ESB 8000,1,1,1,1,1,1,0
8.6K3U,ESB 8000,1,1,1,1,1,1,0
8.PB,ESB 8000,0,1,1,0,1,0,0
8.SB,ESB 8000,0,1,1,0,1,0,0
8.TB,ESB 8000,0,1,1,0,1,0,0
9.1T-25,ESB 9000,1,1,1,1,1,1,1
9.1T-28,ESB 9000,1,1,1,1,1,1,1
9.1T-28RING,ESB 9000,0,1,1,0,1,0,0
9.3M,ESB 9000,1,1,1,1,1,1,1
9.3MGRILLE,ESB 9000,0,1,1,0,1,0,0
9.4M,ESB 9000,1,1,1,1,1,1,1
9.4MGRILLE,ESB 9000,0,1,1,0,1,0,0
9.6W,ESB 9000,1,1,1,1,1,1,1
9.6WGRILLE,ESB 9000,0,1,1,0,1,0,0
9.UMA,ESB 9000,1,1,1,1,1,1,1
HB104DII,Harmony Blue Note,1,1,1,1,1,1,0
HB154DII,Harmony Blue Note,1,1,1,1,1,1,0
HB410II8A,Harmony Blue Note,1,1,1,1,1,1,0
HB46II4A,Harmony Blue Note,1,1,1,1,1,1,0
HB48II4A,Harmony Blue Note,1,1,1,1,1,1,0
HB501DII,Harmony Blue Note,1,1,1,1,1,1,0
HB68II,Harmony Blue Note,1,1,1,1,1,1,0
HB810II8AD,Harmony Blue Note,1,1,1,1,1,1,0
HB84D,Harmony Blue Note,1,1,1,0,1,0,0
HBCB20F,Harmony Blue Note,1,1,1,0,1,0,0
HBDSPR-II,Harmony Blue Note,0,1,1,0,1,0,0
HBMSQ9P1,Harmony Blue Note,0,1,1,0,1,0,0
Q9P-M1D,Harmony Blue Note,0,1,1,0,1,0,0
HB1.10S4,Harmony Hard Rock,1,1,1,0,1,0,0
HB1.6C,Harmony Hard Rock,1,1,1,1,1,1,0
HB1.6K2X,Harmony Hard Rock,1,1,1,1,1,1,0
HR10US,Harmony Hard Rock,1,1,1,1,1,1,1
HR10US-A,Harmony Hard Rock,1,1,1,1,1,1,1
HR11SW,Harmony Hard Rock,1,1,1,1,1,1,1
HR6USP,Harmony Hard Rock,1,1,1,0,1,0,1
ASP-L2BT,Zapco Analog Processors,1,1,1,1,1,1,0
ASP-L2T,Zapco Analog Processors,1,1,1,1,1,1,0
ASP-L6,Zapco Analog Processors,1,1,1,1,1,1,0
ASP-OE2,Zapco Analog Processors,1,1,1,1,1,1,0
ASP-OE8,Zapco Analog Processors,1,1,1,1,1,1,0
ASP-OEB,Zapco Analog Processors,1,1,1,1,1,1,0
ASP-Q2,Zapco Analog Processors,1,1,1,1,1,1,0
ASP-X2,Zapco Analog Processors,1,1,1,1,1,1,0
ASP-X4,Zapco Analog Processors,1,1,1,1,1,1,0
Z-OTG-BTC,Zapco Analog Processors,1,1,1,1,1,1,0
ADSP-Z12IV-10A,Zapco DSP-IV,1,1,1,1,1,1,0
ADSP-Z16IV-12A,Zapco DSP-IV,1,1,1,1,1,1,0
DSP-Z8IVAT,Zapco DSP-IV,1,1,1,1,1,1,0
HD-BTII-D,Zapco DSP-IV,0,1,1,0,1,0,0
M-AT1,Zapco DSP-IV,1,1,1,0,1,0,0
Z-CB100F,Zapco Power/Caps,1,1,1,1,1,1,0
Z-PS110VP100A,Zapco Power/Caps,0,1,1,0,1,0,0
Z-PS220VP100A,Zapco Power/Caps,0,1,1,0,1,0,0
REF150.4,Zapco Reference,1,1,1,1,1,1,0
REF150.6,Zapco Reference,1,1,1,1,1,1,0
REF250.2,Zapco Reference,1,1,1,1,1,1,0
REF500.1,Zapco Reference,1,1,1,1,1,1,0
ST-1B,Zapco ST-B,1,1,1,1,1,1,0
ST-2B,Zapco ST-B,1,1,1,1,1,1,0
ST-4B,Zapco ST-B,1,1,1,1,1,1,0
ST-5B,Zapco ST-B,1,1,1,1,1,1,0
ST-BR,Zapco ST-B,0,1,1,0,1,0,0
ST-104DSQIII,Zapco ST-D Compact,0,1,1,1,1,1,0
ST-105D,Zapco ST-D Compact,1,1,1,1,1,1,0
ST-750D,Zapco ST-D Compact,1,1,1,1,1,1,0
ST-1000XMIII,Zapco ST-X,1,1,1,1,1,1,0
ST-1500XMIII,Zapco ST-X,1,1,1,1,1,1,0
ST-2000XMIII,Zapco ST-X,1,1,1,1,1,1,0
ST-204DSQIII,Zapco ST-X,1,1,1,0,1,0,0
ST-2XPSQIII,Zapco ST-X,0,1,1,1,1,1,0
ST-4XPSQIII,Zapco ST-X,1,1,1,1,1,1,0
ST-4XSQIII,Zapco ST-X,1,1,1,1,1,1,0
ST-500XMIII,Zapco ST-X,1,1,1,1,1,1,0
ST-6XSQIII,Zapco ST-X,1,1,1,1,1,1,0
Z-1100.1AP,Zapco Z-AP,0,1,1,1,1,1,0
Z-150.2AP,Zapco Z-AP,1,1,1,1,1,1,0
Z-150.4AP,Zapco Z-AP,1,1,1,1,1,1,0
Z-150.6AP,Zapco Z-AP,1,1,1,1,1,1,0
Z-2000.1AP,Zapco Z-AP,1,1,1,1,1,1,0
Z-300.2AP,Zapco Z-AP,1,1,1,1,1,1,0
Z-600.2AP,Zapco Z-AP,1,1,1,1,1,1,0
Z-150.2II,Zapco Z-II,1,1,1,1,1,1,0
Z-150.4II,Zapco Z-II,1,1,1,1,1,1,0
Z-150.6II,Zapco Z-II,1,1,1,1,1,1,0
Z-1KDII,Zapco Z-II,1,1,1,1,1,1,0
Z-2KDII,Zapco Z-II,1,1,1,1,1,1,0
Z-3KDII,Zapco Z-II,1,1,1,1,1,1,0
Z-BRII,Zapco Z-II,0,1,1,0,1,0,0